center,left,right,steering,throttle,brake,speed
IMG\center_2017_08_05_00_15_59_822.jpg,IMG\left_2017_08_05_00_15_59_822.jpg,IMG\right_2017_08_05_00_15_59_822.jpg,0,0,0,1.264393E-05
IMG\center_2017_08_05_00_15_59_922.jpg,IMG\left_2017_08_05_00_15_59_922.jpg,IMG\right_2017_08_05_00_15_59_922.jpg,0,0,0,1.313666E-05
IMG\center_2017_08_05_00_16_00_021.jpg,IMG\left_2017_08_05_00_16_00_021.jpg,IMG\right_2017_08_05_00_16_00_021.jpg,0,0,0,7.284676E-06
IMG\center_2017_08_05_00_16_00_116.jpg,IMG\left_2017_08_05_00_16_00_116.jpg,IMG\right_2017_08_05_00_16_00_116.jpg,0,0,0,1.30018E-05
IMG\center_2017_08_05_00_16_00_220.jpg,IMG\left_2017_08_05_00_16_00_220.jpg,IMG\right_2017_08_05_00_16_00_220.jpg,0,0,0,7.418543E-07
IMG\center_2017_08_05_00_16_00_320.jpg,IMG\left_2017_08_05_00_16_00_320.jpg,IMG\right_2017_08_05_00_16_00_320.jpg,0,0,0,1.315411E-05
IMG\center_2017_08_05_00_16_00_425.jpg,IMG\left_2017_08_05_00_16_00_425.jpg,IMG\right_2017_08_05_00_16_00_425.jpg,0,0.3029494,0,0.2705836
IMG\center_2017_08_05_00_16_00_527.jpg,IMG\left_2017_08_05_00_16_00_527.jpg,IMG\right_2017_08_05_00_16_00_527.jpg,0,0.6060387,0,0.8705435
IMG\center_2017_08_05_00_16_00_628.jpg,IMG\left_2017_08_05_00_16_00_628.jpg,IMG\right_2017_08_05_00_16_00_628.jpg,0,0.909009,0,1.808144
IMG\center_2017_08_05_00_16_00_721.jpg,IMG\left_2017_08_05_00_16_00_721.jpg,IMG\right_2017_08_05_00_16_00_721.jpg,0,0.6145009,0,2.602408
IMG\center_2017_08_05_00_16_00_819.jpg,IMG\left_2017_08_05_00_16_00_819.jpg,IMG\right_2017_08_05_00_16_00_819.jpg,0,0.3178574,0,3.084729
IMG\center_2017_08_05_00_16_00_920.jpg,IMG\left_2017_08_05_00_16_00_920.jpg,IMG\right_2017_08_05_00_16_00_920.jpg,0,0.01730635,0,3.186558
IMG\center_2017_08_05_00_16_01_019.jpg,IMG\left_2017_08_05_00_16_01_019.jpg,IMG\right_2017_08_05_00_16_01_019.jpg,-0.25,0,0,3.164133
IMG\center_2017_08_05_00_16_01_120.jpg,IMG\left_2017_08_05_00_16_01_120.jpg,IMG\right_2017_08_05_00_16_01_120.jpg,-0.2976243,0,0,3.12378
IMG\center_2017_08_05_00_16_01_217.jpg,IMG\left_2017_08_05_00_16_01_217.jpg,IMG\right_2017_08_05_00_16_01_217.jpg,-0.005228341,0,0,3.090962
IMG\center_2017_08_05_00_16_01_319.jpg,IMG\left_2017_08_05_00_16_01_319.jpg,IMG\right_2017_08_05_00_16_01_319.jpg,0,0.1515501,0,3.144629
IMG\center_2017_08_05_00_16_01_418.jpg,IMG\left_2017_08_05_00_16_01_418.jpg,IMG\right_2017_08_05_00_16_01_418.jpg,0,0.4472591,0,3.519551
IMG\center_2017_08_05_00_16_01_520.jpg,IMG\left_2017_08_05_00_16_01_520.jpg,IMG\right_2017_08_05_00_16_01_520.jpg,0,0.4513053,0,4.144745
IMG\center_2017_08_05_00_16_01_617.jpg,IMG\left_2017_08_05_00_16_01_617.jpg,IMG\right_2017_08_05_00_16_01_617.jpg,-0.25,0.159637,0,4.402492
IMG\center_2017_08_05_00_16_01_720.jpg,IMG\left_2017_08_05_00_16_01_720.jpg,IMG\right_2017_08_05_00_16_01_720.jpg,-0.5000001,0,0,4.338733
IMG\center_2017_08_05_00_16_01_820.jpg,IMG\left_2017_08_05_00_16_01_820.jpg,IMG\right_2017_08_05_00_16_01_820.jpg,-0.7500002,0,0,4.254026
IMG\center_2017_08_05_00_16_01_918.jpg,IMG\left_2017_08_05_00_16_01_918.jpg,IMG\right_2017_08_05_00_16_01_918.jpg,-0.8533766,0,0,4.170618
IMG\center_2017_08_05_00_16_02_028.jpg,IMG\left_2017_08_05_00_16_02_028.jpg,IMG\right_2017_08_05_00_16_02_028.jpg,-0.5247864,0,0,4.145736
IMG\center_2017_08_05_00_16_02_125.jpg,IMG\left_2017_08_05_00_16_02_125.jpg,IMG\right_2017_08_05_00_16_02_125.jpg,-0.2358356,0.2889507,0,4.351563
IMG\center_2017_08_05_00_16_02_224.jpg,IMG\left_2017_08_05_00_16_02_224.jpg,IMG\right_2017_08_05_00_16_02_224.jpg,0,0.5858012,0,4.891426
IMG\center_2017_08_05_00_16_02_319.jpg,IMG\left_2017_08_05_00_16_02_319.jpg,IMG\right_2017_08_05_00_16_02_319.jpg,0,0.8766253,0,5.783757
IMG\center_2017_08_05_00_16_02_420.jpg,IMG\left_2017_08_05_00_16_02_420.jpg,IMG\right_2017_08_05_00_16_02_420.jpg,0,0.5772674,0,6.547307
IMG\center_2017_08_05_00_16_02_519.jpg,IMG\left_2017_08_05_00_16_02_519.jpg,IMG\right_2017_08_05_00_16_02_519.jpg,0,0.8771768,0,7.414732
IMG\center_2017_08_05_00_16_02_617.jpg,IMG\left_2017_08_05_00_16_02_617.jpg,IMG\right_2017_08_05_00_16_02_617.jpg,0,1,0,8.538937
IMG\center_2017_08_05_00_16_02_719.jpg,IMG\left_2017_08_05_00_16_02_719.jpg,IMG\right_2017_08_05_00_16_02_719.jpg,0,1,0,9.660639
IMG\center_2017_08_05_00_16_02_818.jpg,IMG\left_2017_08_05_00_16_02_818.jpg,IMG\right_2017_08_05_00_16_02_818.jpg,0,0.8471995,0,10.67418
IMG\center_2017_08_05_00_16_02_920.jpg,IMG\left_2017_08_05_00_16_02_920.jpg,IMG\right_2017_08_05_00_16_02_920.jpg,-0.25,0.5412331,0,11.39826
IMG\center_2017_08_05_00_16_03_020.jpg,IMG\left_2017_08_05_00_16_03_020.jpg,IMG\right_2017_08_05_00_16_03_020.jpg,-0.5000001,0.2425488,0,11.69405
IMG\center_2017_08_05_00_16_03_140.jpg,IMG\left_2017_08_05_00_16_03_140.jpg,IMG\right_2017_08_05_00_16_03_140.jpg,-0.571164,0,0,11.49802
IMG\center_2017_08_05_00_16_03_242.jpg,IMG\left_2017_08_05_00_16_03_242.jpg,IMG\right_2017_08_05_00_16_03_242.jpg,-0.2603908,0,0,11.30734
IMG\center_2017_08_05_00_16_03_358.jpg,IMG\left_2017_08_05_00_16_03_358.jpg,IMG\right_2017_08_05_00_16_03_358.jpg,0,0,0,11.18229
IMG\center_2017_08_05_00_16_03_450.jpg,IMG\left_2017_08_05_00_16_03_450.jpg,IMG\right_2017_08_05_00_16_03_450.jpg,0,0,0,11.07724
IMG\center_2017_08_05_00_16_03_549.jpg,IMG\left_2017_08_05_00_16_03_549.jpg,IMG\right_2017_08_05_00_16_03_549.jpg,0,0.1549216,0,11.06517
IMG\center_2017_08_05_00_16_03_655.jpg,IMG\left_2017_08_05_00_16_03_655.jpg,IMG\right_2017_08_05_00_16_03_655.jpg,0,0.4723915,0,11.33
IMG\center_2017_08_05_00_16_03_770.jpg,IMG\left_2017_08_05_00_16_03_770.jpg,IMG\right_2017_08_05_00_16_03_770.jpg,0,0.13006,0,11.85518
IMG\center_2017_08_05_00_16_03_894.jpg,IMG\left_2017_08_05_00_16_03_894.jpg,IMG\right_2017_08_05_00_16_03_894.jpg,-0.25,0,0,11.53243
IMG\center_2017_08_05_00_16_03_994.jpg,IMG\left_2017_08_05_00_16_03_994.jpg,IMG\right_2017_08_05_00_16_03_994.jpg,-0.5000001,0,0,11.099
IMG\center_2017_08_05_00_16_04_097.jpg,IMG\left_2017_08_05_00_16_04_097.jpg,IMG\right_2017_08_05_00_16_04_097.jpg,-0.6441516,0,0,11.06708
IMG\center_2017_08_05_00_16_04_213.jpg,IMG\left_2017_08_05_00_16_04_213.jpg,IMG\right_2017_08_05_00_16_04_213.jpg,-0.2912666,0,0,10.95389
IMG\center_2017_08_05_00_16_04_315.jpg,IMG\left_2017_08_05_00_16_04_315.jpg,IMG\right_2017_08_05_00_16_04_315.jpg,0,0,0,10.82316
IMG\center_2017_08_05_00_16_04_421.jpg,IMG\left_2017_08_05_00_16_04_421.jpg,IMG\right_2017_08_05_00_16_04_421.jpg,0,0,0,10.71074
IMG\center_2017_08_05_00_16_04_521.jpg,IMG\left_2017_08_05_00_16_04_521.jpg,IMG\right_2017_08_05_00_16_04_521.jpg,0,0.1497329,0,10.66282
IMG\center_2017_08_05_00_16_04_622.jpg,IMG\left_2017_08_05_00_16_04_622.jpg,IMG\right_2017_08_05_00_16_04_622.jpg,0,0.4512272,0,10.9699
IMG\center_2017_08_05_00_16_04_723.jpg,IMG\left_2017_08_05_00_16_04_723.jpg,IMG\right_2017_08_05_00_16_04_723.jpg,0,0.7529933,0,11.81865
IMG\center_2017_08_05_00_16_04_829.jpg,IMG\left_2017_08_05_00_16_04_829.jpg,IMG\right_2017_08_05_00_16_04_829.jpg,0,1,0,12.75294
IMG\center_2017_08_05_00_16_04_921.jpg,IMG\left_2017_08_05_00_16_04_921.jpg,IMG\right_2017_08_05_00_16_04_921.jpg,0,0.8507702,0,13.37979
IMG\center_2017_08_05_00_16_05_031.jpg,IMG\left_2017_08_05_00_16_05_031.jpg,IMG\right_2017_08_05_00_16_05_031.jpg,-0.25,0.5492769,0,14.30483
IMG\center_2017_08_05_00_16_05_122.jpg,IMG\left_2017_08_05_00_16_05_122.jpg,IMG\right_2017_08_05_00_16_05_122.jpg,-0.3003034,0.2480534,0,14.20647
IMG\center_2017_08_05_00_16_05_234.jpg,IMG\left_2017_08_05_00_16_05_234.jpg,IMG\right_2017_08_05_00_16_05_234.jpg,0,0,0,14.71
IMG\center_2017_08_05_00_16_05_341.jpg,IMG\left_2017_08_05_00_16_05_341.jpg,IMG\right_2017_08_05_00_16_05_341.jpg,0,0,0,14.55064
IMG\center_2017_08_05_00_16_05_444.jpg,IMG\left_2017_08_05_00_16_05_444.jpg,IMG\right_2017_08_05_00_16_05_444.jpg,0,0,0,13.93591
IMG\center_2017_08_05_00_16_05_548.jpg,IMG\left_2017_08_05_00_16_05_548.jpg,IMG\right_2017_08_05_00_16_05_548.jpg,0,0,0,14.26134
IMG\center_2017_08_05_00_16_05_645.jpg,IMG\left_2017_08_05_00_16_05_645.jpg,IMG\right_2017_08_05_00_16_05_645.jpg,0,0.2971487,0,13.86717
