center,left,right,steering,throttle,brake,speed
IMG\center_2017_08_05_10_36_12_972.jpg,IMG\left_2017_08_05_10_36_12_972.jpg,IMG\right_2017_08_05_10_36_12_972.jpg,0,0,0,5.307914E-05
IMG\center_2017_08_05_10_36_13_039.jpg,IMG\left_2017_08_05_10_36_13_039.jpg,IMG\right_2017_08_05_10_36_13_039.jpg,0,0,0,5.45865E-05
IMG\center_2017_08_05_10_36_13_109.jpg,IMG\left_2017_08_05_10_36_13_109.jpg,IMG\right_2017_08_05_10_36_13_109.jpg,0,0,0,5.449603E-05
IMG\center_2017_08_05_10_36_13_185.jpg,IMG\left_2017_08_05_10_36_13_185.jpg,IMG\right_2017_08_05_10_36_13_185.jpg,0,0,0,5.261158E-05
IMG\center_2017_08_05_10_36_13_254.jpg,IMG\left_2017_08_05_10_36_13_254.jpg,IMG\right_2017_08_05_10_36_13_254.jpg,0,0,0,5.555203E-05
IMG\center_2017_08_05_10_36_13_326.jpg,IMG\left_2017_08_05_10_36_13_326.jpg,IMG\right_2017_08_05_10_36_13_326.jpg,0,0,0,5.394412E-05
IMG\center_2017_08_05_10_36_13_404.jpg,IMG\left_2017_08_05_10_36_13_404.jpg,IMG\right_2017_08_05_10_36_13_404.jpg,0,0,0,5.347498E-05
IMG\center_2017_08_05_10_36_13_483.jpg,IMG\left_2017_08_05_10_36_13_483.jpg,IMG\right_2017_08_05_10_36_13_483.jpg,0,0,0,5.254196E-05
IMG\center_2017_08_05_10_36_13_559.jpg,IMG\left_2017_08_05_10_36_13_559.jpg,IMG\right_2017_08_05_10_36_13_559.jpg,0,0,0,5.538551E-05
IMG\center_2017_08_05_10_36_13_635.jpg,IMG\left_2017_08_05_10_36_13_635.jpg,IMG\right_2017_08_05_10_36_13_635.jpg,0,0,0,5.526945E-05
IMG\center_2017_08_05_10_36_13_705.jpg,IMG\left_2017_08_05_10_36_13_705.jpg,IMG\right_2017_08_05_10_36_13_705.jpg,0,0,0,5.346251E-05
IMG\center_2017_08_05_10_36_13_781.jpg,IMG\left_2017_08_05_10_36_13_781.jpg,IMG\right_2017_08_05_10_36_13_781.jpg,0,0,0,5.285962E-05
IMG\center_2017_08_05_10_36_13_856.jpg,IMG\left_2017_08_05_10_36_13_856.jpg,IMG\right_2017_08_05_10_36_13_856.jpg,0,0,0,5.429095E-05
IMG\center_2017_08_05_10_36_13_931.jpg,IMG\left_2017_08_05_10_36_13_931.jpg,IMG\right_2017_08_05_10_36_13_931.jpg,0,0,0,5.304595E-05
IMG\center_2017_08_05_10_36_14_003.jpg,IMG\left_2017_08_05_10_36_14_003.jpg,IMG\right_2017_08_05_10_36_14_003.jpg,0,0,0,5.368076E-05
IMG\center_2017_08_05_10_36_14_076.jpg,IMG\left_2017_08_05_10_36_14_076.jpg,IMG\right_2017_08_05_10_36_14_076.jpg,0,0,0,5.305161E-05
IMG\center_2017_08_05_10_36_14_149.jpg,IMG\left_2017_08_05_10_36_14_149.jpg,IMG\right_2017_08_05_10_36_14_149.jpg,0,0,0,5.344233E-05
IMG\center_2017_08_05_10_36_14_221.jpg,IMG\left_2017_08_05_10_36_14_221.jpg,IMG\right_2017_08_05_10_36_14_221.jpg,0,0,0,5.548967E-05
IMG\center_2017_08_05_10_36_14_294.jpg,IMG\left_2017_08_05_10_36_14_294.jpg,IMG\right_2017_08_05_10_36_14_294.jpg,0,0.1068484,0,0.04885405
IMG\center_2017_08_05_10_36_14_364.jpg,IMG\left_2017_08_05_10_36_14_364.jpg,IMG\right_2017_08_05_10_36_14_364.jpg,0,0.3269095,0,0.3063249
IMG\center_2017_08_05_10_36_14_436.jpg,IMG\left_2017_08_05_10_36_14_436.jpg,IMG\right_2017_08_05_10_36_14_436.jpg,0,0.5446823,0,0.6229277
IMG\center_2017_08_05_10_36_14_510.jpg,IMG\left_2017_08_05_10_36_14_510.jpg,IMG\right_2017_08_05_10_36_14_510.jpg,0,0.7651275,0,1.229188
IMG\center_2017_08_05_10_36_14_585.jpg,IMG\left_2017_08_05_10_36_14_585.jpg,IMG\right_2017_08_05_10_36_14_585.jpg,0,0.9881198,0,2.123401
IMG\center_2017_08_05_10_36_14_655.jpg,IMG\left_2017_08_05_10_36_14_655.jpg,IMG\right_2017_08_05_10_36_14_655.jpg,0,0.7762766,0,2.681682
IMG\center_2017_08_05_10_36_14_730.jpg,IMG\left_2017_08_05_10_36_14_730.jpg,IMG\right_2017_08_05_10_36_14_730.jpg,-0.2,0.5518149,0,3.254745
IMG\center_2017_08_05_10_36_14_803.jpg,IMG\left_2017_08_05_10_36_14_803.jpg,IMG\right_2017_08_05_10_36_14_803.jpg,-0.4,0.3299772,0,3.592245
IMG\center_2017_08_05_10_36_14_878.jpg,IMG\left_2017_08_05_10_36_14_878.jpg,IMG\right_2017_08_05_10_36_14_878.jpg,-0.4402741,0.10716,0,3.688263
IMG\center_2017_08_05_10_36_14_952.jpg,IMG\left_2017_08_05_10_36_14_952.jpg,IMG\right_2017_08_05_10_36_14_952.jpg,-0.2193115,0,0,3.65589
IMG\center_2017_08_05_10_36_15_022.jpg,IMG\left_2017_08_05_10_36_15_022.jpg,IMG\right_2017_08_05_10_36_15_022.jpg,-0.007872183,0,0,3.620776
IMG\center_2017_08_05_10_36_15_093.jpg,IMG\left_2017_08_05_10_36_15_093.jpg,IMG\right_2017_08_05_10_36_15_093.jpg,0,0,0,3.59909
IMG\center_2017_08_05_10_36_15_167.jpg,IMG\left_2017_08_05_10_36_15_167.jpg,IMG\right_2017_08_05_10_36_15_167.jpg,-0.1,0,0,3.569626
IMG\center_2017_08_05_10_36_15_236.jpg,IMG\left_2017_08_05_10_36_15_236.jpg,IMG\right_2017_08_05_10_36_15_236.jpg,-0.25,0,0,3.541596
IMG\center_2017_08_05_10_36_15_310.jpg,IMG\left_2017_08_05_10_36_15_310.jpg,IMG\right_2017_08_05_10_36_15_310.jpg,-0.09787661,0,0,3.513128
IMG\center_2017_08_05_10_36_15_385.jpg,IMG\left_2017_08_05_10_36_15_385.jpg,IMG\right_2017_08_05_10_36_15_385.jpg,0,0,0,3.484062
IMG\center_2017_08_05_10_36_15_454.jpg,IMG\left_2017_08_05_10_36_15_454.jpg,IMG\right_2017_08_05_10_36_15_454.jpg,0,0,0,3.463589
IMG\center_2017_08_05_10_36_15_524.jpg,IMG\left_2017_08_05_10_36_15_524.jpg,IMG\right_2017_08_05_10_36_15_524.jpg,0,0.1039569,0,3.48803
IMG\center_2017_08_05_10_36_15_598.jpg,IMG\left_2017_08_05_10_36_15_598.jpg,IMG\right_2017_08_05_10_36_15_598.jpg,0,0.326565,0,3.662935
IMG\center_2017_08_05_10_36_15_669.jpg,IMG\left_2017_08_05_10_36_15_669.jpg,IMG\right_2017_08_05_10_36_15_669.jpg,0,0.540865,0,4.107044
IMG\center_2017_08_05_10_36_15_743.jpg,IMG\left_2017_08_05_10_36_15_743.jpg,IMG\right_2017_08_05_10_36_15_743.jpg,0,0.5309477,0,4.644772
IMG\center_2017_08_05_10_36_15_820.jpg,IMG\left_2017_08_05_10_36_15_820.jpg,IMG\right_2017_08_05_10_36_15_820.jpg,-0.1,0.2991597,0,4.964576
IMG\center_2017_08_05_10_36_15_892.jpg,IMG\left_2017_08_05_10_36_15_892.jpg,IMG\right_2017_08_05_10_36_15_892.jpg,-0.25,0.08711281,0,5.024038
IMG\center_2017_08_05_10_36_15_974.jpg,IMG\left_2017_08_05_10_36_15_974.jpg,IMG\right_2017_08_05_10_36_15_974.jpg,-0.45,0,0,4.964272
IMG\center_2017_08_05_10_36_16_055.jpg,IMG\left_2017_08_05_10_36_16_055.jpg,IMG\right_2017_08_05_10_36_16_055.jpg,-0.5713104,0,0,4.897495
IMG\center_2017_08_05_10_36_16_139.jpg,IMG\left_2017_08_05_10_36_16_139.jpg,IMG\right_2017_08_05_10_36_16_139.jpg,-0.3213642,0,0,4.86494
IMG\center_2017_08_05_10_36_16_217.jpg,IMG\left_2017_08_05_10_36_16_217.jpg,IMG\right_2017_08_05_10_36_16_217.jpg,-0.5213642,0,0,4.814333
IMG\center_2017_08_05_10_36_16_296.jpg,IMG\left_2017_08_05_10_36_16_296.jpg,IMG\right_2017_08_05_10_36_16_296.jpg,-0.7213643,0,0,4.740319
IMG\center_2017_08_05_10_36_16_378.jpg,IMG\left_2017_08_05_10_36_16_378.jpg,IMG\right_2017_08_05_10_36_16_378.jpg,-0.5481495,0,0,4.702318
IMG\center_2017_08_05_10_36_16_457.jpg,IMG\left_2017_08_05_10_36_16_457.jpg,IMG\right_2017_08_05_10_36_16_457.jpg,-0.3124771,0,0,4.672935
IMG\center_2017_08_05_10_36_16_537.jpg,IMG\left_2017_08_05_10_36_16_537.jpg,IMG\right_2017_08_05_10_36_16_537.jpg,-0.07144435,0,0,4.63393
IMG\center_2017_08_05_10_36_16_614.jpg,IMG\left_2017_08_05_10_36_16_614.jpg,IMG\right_2017_08_05_10_36_16_614.jpg,-0.1,0,0,4.594073
IMG\center_2017_08_05_10_36_16_689.jpg,IMG\left_2017_08_05_10_36_16_689.jpg,IMG\right_2017_08_05_10_36_16_689.jpg,-0.3,0,0,4.545478
IMG\center_2017_08_05_10_36_16_762.jpg,IMG\left_2017_08_05_10_36_16_762.jpg,IMG\right_2017_08_05_10_36_16_762.jpg,-0.3447034,0,0,4.496797
IMG\center_2017_08_05_10_36_16_840.jpg,IMG\left_2017_08_05_10_36_16_840.jpg,IMG\right_2017_08_05_10_36_16_840.jpg,-0.1088209,0,0,4.462903
IMG\center_2017_08_05_10_36_16_920.jpg,IMG\left_2017_08_05_10_36_16_920.jpg,IMG\right_2017_08_05_10_36_16_920.jpg,0,0,0,4.42594
IMG\center_2017_08_05_10_36_16_989.jpg,IMG\left_2017_08_05_10_36_16_989.jpg,IMG\right_2017_08_05_10_36_16_989.jpg,0,0,0,4.400641
IMG\center_2017_08_05_10_36_17_061.jpg,IMG\left_2017_08_05_10_36_17_061.jpg,IMG\right_2017_08_05_10_36_17_061.jpg,-0.2,0,0,4.36046
IMG\center_2017_08_05_10_36_17_134.jpg,IMG\left_2017_08_05_10_36_17_134.jpg,IMG\right_2017_08_05_10_36_17_134.jpg,-0.35,0,0,4.322337
IMG\center_2017_08_05_10_36_17_202.jpg,IMG\left_2017_08_05_10_36_17_202.jpg,IMG\right_2017_08_05_10_36_17_202.jpg,-0.2279729,0,0,4.287644
IMG\center_2017_08_05_10_36_17_270.jpg,IMG\left_2017_08_05_10_36_17_270.jpg,IMG\right_2017_08_05_10_36_17_270.jpg,-0.2280006,0,0,4.262363
IMG\center_2017_08_05_10_36_17_343.jpg,IMG\left_2017_08_05_10_36_17_343.jpg,IMG\right_2017_08_05_10_36_17_343.jpg,-0.4280006,0,0,4.214097
IMG\center_2017_08_05_10_36_17_419.jpg,IMG\left_2017_08_05_10_36_17_419.jpg,IMG\right_2017_08_05_10_36_17_419.jpg,-0.5780007,0,0,4.168998
IMG\center_2017_08_05_10_36_17_487.jpg,IMG\left_2017_08_05_10_36_17_487.jpg,IMG\right_2017_08_05_10_36_17_487.jpg,-0.7780007,0,0,4.098958
IMG\center_2017_08_05_10_36_17_560.jpg,IMG\left_2017_08_05_10_36_17_560.jpg,IMG\right_2017_08_05_10_36_17_560.jpg,-0.9780008,0,0,4.015263
IMG\center_2017_08_05_10_36_17_634.jpg,IMG\left_2017_08_05_10_36_17_634.jpg,IMG\right_2017_08_05_10_36_17_634.jpg,-1,0,0,3.962649
IMG\center_2017_08_05_10_36_17_704.jpg,IMG\left_2017_08_05_10_36_17_704.jpg,IMG\right_2017_08_05_10_36_17_704.jpg,-1,0,0,3.908598
